id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,wkt
235834429,4427411134,2439088218,7.07092628585556,1,0,0,5,5,"LINESTRING(5.0634646 45.6342152, 5.0635151 45.6342680)"
235834430,2439088232,2439088234,46.75514257778227,1,1,1,2,2,"LINESTRING(5.0631009 45.6335747, 5.0627316 45.6336124, 5.0625049 45.6336253)"
236255905,9582801447,1744123481,69.22288381772768,1,1,1,2,2,"LINESTRING(5.0338304 45.6338435, 5.0340136 45.6336039, 5.0342005 45.6333793, 5.0342196 45.6332900)"
236255905,1744123481,3626815724,577.6829727233277,1,1,1,2,2,"LINESTRING(5.0342196 45.6332900, 5.0341979 45.6332264, 5.0337751 45.6327108, 5.0335470 45.6324510, 5.0329744 45.6318967, 5.0329396 45.6318386, 5.0329395 45.6317617, 5.0329824 45.6316998, 5.0330790 45.6316632, 5.0332282 45.6316585, 5.0334465 45.6317056, 5.0337147 45.6317506, 5.0338348 45.6317273, 5.0339873 45.6316397, 5.0340687 45.6315406, 5.0341446 45.6313751, 5.0342174 45.6310280, 5.0343852 45.6306026, 5.0343915 45.6303028, 5.0344342 45.6301131, 5.0345377 45.6300170, 5.0354536 45.6295592, 5.0354881 45.6295175, 5.0354736 45.6294731)"
238700015,2294610410,243432115,132.9176407949974,1,4,0,2,0,"LINESTRING(5.0791638 45.6234386, 5.0791105 45.6230952, 5.0791238 45.6227581, 5.0791558 45.6224657, 5.0792286 45.6222536)"
238700016,4210234896,243432119,163.56685040784276,1,4,0,2,0,"LINESTRING(5.0793004 45.6235170, 5.0794241 45.6239428, 5.0798503 45.6249338)"
240891706,1745662410,1745662473,33.02810868015417,1,1,1,2,2,"LINESTRING(5.0535894 45.6385484, 5.0536465 45.6388424)"
240891707,1745662473,1745662429,253.40758120254634,1,1,1,2,2,"LINESTRING(5.0536465 45.6388424, 5.0538182 45.6395738, 5.0539877 45.6402723, 5.0541829 45.6409540, 5.0541937 45.6410853)"
240891707,1745662429,1745668544,383.7331368091852,1,1,1,2,2,"LINESTRING(5.0541937 45.6410853, 5.0540220 45.6411303, 5.0495049 45.6421510)"
240891707,1745668544,1745662430,456.5631076312556,1,1,1,2,2,"LINESTRING(5.0495049 45.6421510, 5.0471341 45.6426867, 5.0469893 45.6426942, 5.0468766 45.6426117, 5.0458928 45.6408462, 5.0458681 45.6407852, 5.0457769 45.6407215, 5.0456428 45.6407402)"
240891707,1745662430,1745662376,155.01834599694737,1,1,1,2,2,"LINESTRING(5.0456428 45.6407402, 5.0442105 45.6417079)"
240891707,1745662376,1745662407,219.00680028621167,1,1,1,2,2,"LINESTRING(5.0442105 45.6417079, 5.0421827 45.6428742, 5.0420420 45.6429616)"
240891707,1745662407,1745662425,380.61600859409924,1,1,1,2,2,"LINESTRING(5.0420420 45.6429616, 5.0408899 45.6436768, 5.0405359 45.6438531, 5.0398435 45.6441886, 5.0394394 45.6443322, 5.0390102 45.6444785, 5.0382533 45.6448094, 5.0380595 45.6449191)"
242263099,1433558300,2497726508,85.62658089360839,1,1,1,2,2,"LINESTRING(5.0637153 45.6298296, 5.0628080 45.6299500, 5.0626336 45.6299311)"
242687447,2501444235,8279147182,5.043511178730221,1,1,0,2,0,"LINESTRING(5.0678562 45.6322781, 5.0677924 45.6322860)"
242687447,8279147182,2501444239,5.049495959592011,1,1,0,2,0,"LINESTRING(5.0677924 45.6322860, 5.0677282 45.6322925)"
242687447,2501444239,2501444241,10.26395941710217,1,1,0,2,0,"LINESTRING(5.0677282 45.6322925, 5.0675977 45.6323057)"
242687447,2501444241,2501444245,11.351707957198519,1,1,0,2,0,"LINESTRING(5.0675977 45.6323057, 5.0674547 45.6323257)"
242687447,2501444245,2501444248,9.901440962483747,1,1,0,2,0,"LINESTRING(5.0674547 45.6323257, 5.0673296 45.6323418)"
242687447,2501444248,2501444250,10.208523536758644,1,1,0,2,0,"LINESTRING(5.0673296 45.6323418, 5.0672007 45.6323587)"
242687447,2501444250,2501444252,10.93255957433437,1,1,0,2,0,"LINESTRING(5.0672007 45.6323587, 5.0670625 45.6323762)"
242687447,2501444252,2501444255,9.591217343002992,1,1,0,2,0,"LINESTRING(5.0670625 45.6323762, 5.0669430 45.6323972)"
242687448,2501444255,2501444269,36.244723780859,1,1,0,2,0,"LINESTRING(5.0669430 45.6323972, 5.0670088 45.6326900, 5.0670165 45.6327187)"
242687448,2501444269,8279147189,5.496386064000758,1,1,0,2,0,"LINESTRING(5.0670165 45.6327187, 5.0670851 45.6327070)"
242687448,8279147189,2501444268,5.721322183364592,1,1,0,2,0,"LINESTRING(5.0670851 45.6327070, 5.0671565 45.6326948)"
242687448,2501444268,2501444267,10.302868907236304,1,1,0,2,0,"LINESTRING(5.0671565 45.6326948, 5.0672857 45.6326747)"
